CENSUS2010POP ,LOCATION
"22,354",".Shelby County, Illinois"
"5,969",".Stark County, Illinois"
"47,606",".Stephenson County, Illinois"
"135,486",".Tazewell County, Illinois"
"17,731",".Union County, Illinois"
"81,640",".Vermilion County, Illinois"
"11,916",".Wabash County, Illinois"
"17,713",".Warren County, Illinois"
"14,712",".Washington County, Illinois"
"16,738",".Wayne County, Illinois"
"14,597",".White County, Illinois"
"58,486",".Whiteside County, Illinois"
"678,824",".Will County, Illinois"
"66,432",".Williamson County, Illinois"
"295,083",".Winnebago County, Illinois"
"38,661",".Woodford County, Illinois"
"34,444",".Adams County, Indiana"
"355,945",".Allen County, Indiana"
"76,818",".Bartholomew County, Indiana"
"8,863",".Benton County, Indiana"
"12,771",".Blackford County, Indiana"
"56,916",".Boone County, Indiana"
"15,207",".Brown County, Indiana"
"20,199",".Carroll County, Indiana"
"38,985",".Cass County, Indiana"
"110,567",".Clark County, Indiana"
"26,854",".Clay County, Indiana"
"33,221",".Clinton County, Indiana"
"10,708",".Crawford County, Indiana"
"31,720",".Daviess County, Indiana"
"50,083",".Dearborn County, Indiana"
"25,798",".Decatur County, Indiana"
"42,336",".DeKalb County, Indiana"
"117,665",".Delaware County, Indiana"
"41,905",".Dubois County, Indiana"
"197,451",".Elkhart County, Indiana"
"24,325",".Fayette County, Indiana"
"74,709",".Floyd County, Indiana"
"17,276",".Fountain County, Indiana"
"23,059",".Franklin County, Indiana"
"20,817",".Fulton County, Indiana"
"33,545",".Gibson County, Indiana"
"69,903",".Grant County, Indiana"
"33,207",".Greene County, Indiana"
"276,493",".Hamilton County, Indiana"
"70,247",".Hancock County, Indiana"
"39,330",".Harrison County, Indiana"
"145,954",".Hendricks County, Indiana"
"49,530",".Henry County, Indiana"
"82,752",".Howard County, Indiana"
"37,117",".Huntington County, Indiana"
"42,586",".Jackson County, Indiana"
"33,496",".Jasper County, Indiana"
"21,179",".Jay County, Indiana"
"32,395",".Jefferson County, Indiana"
"28,481",".Jennings County, Indiana"
"140,269",".Johnson County, Indiana"
"38,391",".Knox County, Indiana"
"77,340",".Kosciusko County, Indiana"
"37,159",".LaGrange County, Indiana"
"495,947",".Lake County, Indiana"
"111,459",".LaPorte County, Indiana"
"46,102",".Lawrence County, Indiana"
"131,619",".Madison County, Indiana"
"904,591",".Marion County, Indiana"
"47,000",".Marshall County, Indiana"
"10,359",".Martin County, Indiana"
"36,810",".Miami County, Indiana"
"138,566",".Monroe County, Indiana"
"38,098",".Montgomery County, Indiana"
"69,138",".Morgan County, Indiana"
"14,233",".Newton County, Indiana"
"47,454",".Noble County, Indiana"
"6,086",".Ohio County, Indiana"
"19,814",".Orange County, Indiana"
"21,566",".Owen County, Indiana"
"17,275",".Parke County, Indiana"
"19,409",".Perry County, Indiana"
"12,720",".Pike County, Indiana"
"164,487",".Porter County, Indiana"
"25,861",".Posey County, Indiana"
"13,323",".Pulaski County, Indiana"
"37,909",".Putnam County, Indiana"
"26,178",".Randolph County, Indiana"
"28,815",".Ripley County, Indiana"
"17,384",".Rush County, Indiana"
"266,797",".St. Joseph County, Indiana"
